"Card Number","Domain","Category","Difficulty","Front","Back"
"123","4 - Guidelines for Responsible AI","Responsible AI","Beginner","What do AWS's responsible AI principles emphasize?","AWS's responsible AI principles emphasize fairness, explainability, privacy and security, safety, controllability, veracity and robustness, governance, and transparency. These principles guide how AWS designs and recommends building AI systems."
"124","4 - Guidelines for Responsible AI","Comparison","Exam-Ready","Historical bias vs. representation bias vs. measurement bias: how do they differ?","Historical bias reflects past societal inequities embedded in the data itself. Representation bias occurs when a dataset underrepresents certain groups. Measurement bias occurs when data is collected or labeled inconsistently across groups."
"125","4 - Guidelines for Responsible AI","Comparison","Exam-Ready","Explainability vs. interpretability vs. transparency: how are these related but distinct?","Explainability is the ability to describe why a model made a decision. Interpretability is how understandable the model's internal logic is to a human. Transparency is openness about the model's design, data, and limitations overall."
"126","4 - Guidelines for Responsible AI","Comparison","Intermediate","Human-in-the-loop vs. human-on-the-loop: how do they differ?","Human-in-the-loop means a person actively reviews or approves individual AI decisions before they take effect. Human-on-the-loop means a person monitors the system's overall behavior and can intervene, but does not review every decision."
"127","4 - Guidelines for Responsible AI","Comparison","Exam-Ready","SageMaker Clarify vs. Amazon A2I vs. SageMaker Ground Truth: what does each one do?","SageMaker Clarify detects bias and explains model predictions. Amazon A2I routes low-confidence predictions to human reviewers. SageMaker Ground Truth creates labeled training datasets using human labelers."
"128","4 - Guidelines for Responsible AI","Comparison","Intermediate","Fairness vs. accuracy: why can these sometimes conflict?","A highly accurate model overall can still perform poorly or unfairly for a specific subgroup if that group is underrepresented in the training data. Optimizing purely for aggregate accuracy can mask fairness problems within subgroups."
"129","4 - Guidelines for Responsible AI","Comparison","Intermediate","Data bias vs. algorithmic bias: what is the difference?","Data bias originates from the training data itself, such as skewed sampling or historical inequities. Algorithmic bias originates from how the model or algorithm processes that data, even if the data were perfectly balanced."
"130","4 - Guidelines for Responsible AI","Comparison","Intermediate","Local explanation vs. global explanation: how do they differ?","A local explanation explains why the model made one specific prediction for one specific input. A global explanation describes the model's overall behavior and feature importance across all predictions."
"131","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","A hiring model trained on decades of past hiring decisions consistently scores female candidates lower because historical hiring favored male candidates. What type of bias is this?","This is historical bias, since the model is learning and reproducing inequities that existed in past human decisions reflected in the training data."
"132","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","A team wants to detect imbalanced demographic representation in their training dataset before training a model. Which AWS tool fits?","Amazon SageMaker Clarify fits this scenario, since it is designed to detect bias in datasets, including imbalanced representation, before and after training."
"133","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","A medical diagnosis model produces a prediction with low confidence for an unusual case. What responsible AI control should be applied?","Human oversight through Amazon A2I should be applied, routing the low-confidence prediction to a qualified human reviewer before any decision is acted on."
"134","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","A company deploys an AI hiring tool with no documentation of its training data or limitations, and no way to explain individual decisions. What principles are being violated?","This violates transparency and explainability, since stakeholders cannot understand the model's data, limitations, or the reasoning behind specific decisions. It also raises accountability and potential fairness concerns."
"135","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","A customer service chatbot occasionally invents product specifications that do not exist. What risk does this represent, and what AWS feature could help reduce it?","This represents a hallucination and veracity risk. Amazon Bedrock Guardrails, combined with RAG grounding, can help reduce this risk by constraining and grounding model outputs."
"136","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","Exam clue: ""A hiring algorithm consistently scores one group lower than others."" What concept does this describe?","This describes bias, most likely historical or representation bias, where the model's outputs systematically disadvantage a particular group."
"137","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","Exam clue: ""Why did the model make this decision?"" What responsible AI concept does this describe?","This describes explainability, the ability to articulate the reasoning behind a specific model decision."
"138","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","Exam clue: ""Detect bias in training data before building a model."" Which AWS tool does this describe?","This describes Amazon SageMaker Clarify, which is built to detect bias in both datasets and trained models."
"139","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","Exam clue: ""A human reviews low-confidence predictions before they are acted on."" Which AWS service does this describe?","This describes Amazon Augmented AI, or Amazon A2I, which routes low-confidence predictions into human review workflows."
"140","4 - Guidelines for Responsible AI","Scenario","Exam-Ready","Exam clue: ""Workers label training images by hand."" Which AWS service does this describe?","This describes Amazon SageMaker Ground Truth, which supports human-assisted data labeling for training datasets."
"141","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Beginner","What is the AWS Shared Responsibility Model?","The Shared Responsibility Model defines that AWS is responsible for the security of the cloud, meaning the underlying infrastructure, while the customer is responsible for security in the cloud, meaning their data, configurations, and applications. Responsibilities shift depending on which services are used."
"142","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Beginner","What is the principle of least privilege?","The principle of least privilege means granting a user, role, or service only the minimum permissions needed to perform its function, and no more. It reduces the potential damage from compromised credentials or misconfigurations."
"143","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Beginner","What is an IAM role?","An IAM role is an identity with a defined set of permissions that can be assumed temporarily by users, applications, or AWS services. Roles are commonly used to grant AI workloads access to only the resources they need."
"144","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Intermediate","What is a VPC endpoint?","A VPC endpoint allows private connectivity between resources in a VPC and supported AWS services, without traffic ever traversing the public internet. AWS PrivateLink is a common technology used to implement VPC endpoints for AI workloads."
"145","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Beginner","What is encryption at rest?","Encryption at rest protects stored data, such as files in Amazon S3 or training datasets, by encrypting it while it is not actively being used or transmitted. AWS KMS is commonly used to manage the encryption keys involved."
"146","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Beginner","What is encryption in transit?","Encryption in transit protects data while it moves between systems, such as between an application and an AI model endpoint, typically using protocols like TLS. It prevents data from being intercepted or read while traveling across a network."
"147","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Intermediate","What is AWS KMS?","AWS Key Management Service, or KMS, is a managed service for creating, storing, and controlling the encryption keys used to protect data at rest and in transit. It is central to encrypting sensitive AI training data and model artifacts."
"148","5 - Security, Compliance, and Governance for AI Solutions","Security and Governance","Intermediate","What is data masking?","Data masking is a privacy-enhancing technique that obscures or replaces sensitive data values, such as replacing a real name with a placeholder, while preserving the data's usability for other purposes. It helps protect sensitive information used in AI training or testing."
"149","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Beginner","What is AWS IAM?","AWS Identity and Access Management, or IAM, is the foundational service for controlling who can access AWS resources and what actions they can perform. It uses users, roles, and policies to define and enforce permissions."
"150","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What is Amazon Macie?","Amazon Macie is an ML-powered data security service that automatically discovers and classifies sensitive data, such as PII, stored in Amazon S3. It alerts security teams when sensitive data may be at risk."
"151","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What is AWS KMS used for in AI workloads?","AWS KMS manages the encryption keys used to protect AI training data, model artifacts, and other sensitive information at rest and in transit. It gives organizations control over who can use specific encryption keys."
"152","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Beginner","What is AWS CloudTrail?","AWS CloudTrail records a complete history of API calls and actions taken within an AWS account, creating an auditable activity log. It answers the question of who did what and when, which is essential for AI governance and investigations."
"153","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What is Amazon CloudWatch?","Amazon CloudWatch is a monitoring and observability service that collects metrics, logs, and events to track the operational health and performance of AWS resources and applications. It can alert teams to performance issues in AI workloads."
"154","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What is Amazon SageMaker Model Monitor?","SageMaker Model Monitor continuously tracks a deployed model's performance and data quality, detecting issues like data drift or accuracy degradation over time. It helps trigger retraining before performance problems affect business outcomes."
"155","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What is AWS Config?","AWS Config continuously records and tracks the configuration state of AWS resources over time, enabling compliance evaluation against defined rules. It helps identify when and how a resource's configuration changed."
"156","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What is AWS Artifact?","AWS Artifact is a self-service portal where customers can access and download AWS's own compliance reports, security certifications, and audit documentation at no cost. It supports customers who need to demonstrate compliance to regulators or auditors."
"157","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What is AWS Control Tower used for?","AWS Control Tower helps organizations set up and govern a secure, compliant multi-account AWS environment using predefined guardrails and best practices. It is useful for establishing consistent governance across multiple AI projects or teams."
"158","5 - Security, Compliance, and Governance for AI Solutions","AWS Service","Intermediate","What does Bedrock logging provide?","Amazon Bedrock logging, often paired with CloudTrail and CloudWatch, captures details of model invocations, including inputs and outputs, for auditing and troubleshooting. It supports the audit trail requirements expected of production GenAI applications."
"159","5 - Security, Compliance, and Governance for AI Solutions","Comparison","Exam-Ready","AWS CloudTrail vs. Amazon CloudWatch vs. SageMaker Model Monitor: what does each track?","CloudTrail tracks who took what action through AWS API calls, for auditing. CloudWatch tracks operational performance metrics, logs, and health across resources. SageMaker Model Monitor tracks a deployed model's prediction quality and data drift specifically."
"160","5 - Security, Compliance, and Governance for AI Solutions","Comparison","Intermediate","SSE-S3 vs. SSE-KMS: how do these S3 encryption options differ?","SSE-S3 uses encryption keys that are fully managed by Amazon S3 with no customer control over the keys. SSE-KMS uses AWS KMS keys, giving customers more control, auditing, and the ability to manage their own key policies."
"161","5 - Security, Compliance, and Governance for AI Solutions","Comparison","Exam-Ready","Shared responsibility for Amazon Bedrock vs. Amazon SageMaker AI: how does the customer's responsibility differ?","With Amazon Bedrock, AWS manages more of the underlying model infrastructure, so the customer is mainly responsible for their data, prompts, and access configuration. With SageMaker AI, the customer takes on more responsibility, since they configure, train, and manage more of the ML environment themselves."
"162","5 - Security, Compliance, and Governance for AI Solutions","Comparison","Intermediate","Customer managed key vs. AWS managed key: what is the key difference?","A customer managed key is created and controlled by the customer, who can define detailed key policies and rotation schedules. An AWS managed key is created and managed by AWS on the customer's behalf, with less customer control."
"163","5 - Security, Compliance, and Governance for AI Solutions","Comparison","Intermediate","Amazon Macie vs. Bedrock Guardrails PII masking: how do their roles differ?","Amazon Macie discovers and classifies sensitive data already stored in Amazon S3. Bedrock Guardrails PII masking detects and redacts sensitive information in real time within model inputs and outputs during an active GenAI interaction."
"164","5 - Security, Compliance, and Governance for AI Solutions","Comparison","Exam-Ready","AWS Config vs. AWS CloudTrail: how do they differ?","AWS Config tracks the state of resource configurations over time and evaluates them against compliance rules. AWS CloudTrail tracks the specific API actions that caused those configuration changes to happen."
"165","5 - Security, Compliance, and Governance for AI Solutions","Comparison","Intermediate","Compliance vs. governance: how are these related but distinct?","Compliance means meeting specific external requirements, laws, or standards, such as passing an audit. Governance is the broader internal set of policies, processes, and oversight an organization uses to ensure it operates responsibly and consistently, including but not limited to compliance."
"166","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","A company stores its ML training data in Amazon S3 and wants it encrypted. Under the Shared Responsibility Model, who configures this encryption?","The customer is responsible for configuring encryption on their own data in S3, even though AWS provides the encryption tools and manages the underlying infrastructure. This falls under the customer's responsibility for security in the cloud."
"167","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","A healthcare company wants to ensure traffic to Amazon Bedrock never crosses the public internet. What AWS feature should they use?","They should use a VPC endpoint powered by AWS PrivateLink, which allows private connectivity to Bedrock without traffic traversing the public internet."
"168","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","A compliance team needs a complete record of every API call made to Amazon Bedrock across the organization for an upcoming audit. Which AWS service provides this?","AWS CloudTrail provides this record, since it logs all API activity, including calls made to Amazon Bedrock, for auditing and investigation purposes."
"169","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","A security team suspects an S3 bucket used for AI training data may contain personally identifiable information that should not be there. Which AWS service should they use to check?","Amazon Macie should be used, since it automatically discovers and classifies sensitive data, including PII, stored in Amazon S3."
"170","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Intermediate","An organization wants to formally track AI model performance, compliance evidence, and configuration changes as part of an internal governance program. Which AWS services support this?","A combination of SageMaker Model Monitor for performance, AWS Config for configuration tracking, and AWS Audit Manager for compliance evidence collection supports this governance program. Together they provide ongoing visibility across the AI system's lifecycle."
"171","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","Exam clue: ""Determine who called which AWS API and when."" Which AWS service does this describe?","This describes AWS CloudTrail, which logs account activity and API calls for auditing purposes."
"172","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","Exam clue: ""Detect personally identifiable information stored in an S3 bucket."" Which AWS service does this describe?","This describes Amazon Macie, which automatically discovers and classifies sensitive data like PII in Amazon S3."
"173","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","Exam clue: ""A deployed model's performance is degrading over time."" Which AWS service does this describe?","This describes Amazon SageMaker Model Monitor, which tracks deployed model performance and detects issues like data drift."
"174","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","Exam clue: ""Prevent Bedrock traffic from using the public internet."" Which AWS feature does this describe?","This describes a VPC endpoint using AWS PrivateLink, which provides private connectivity to Bedrock without traversing the public internet."
"175","5 - Security, Compliance, and Governance for AI Solutions","Scenario","Exam-Ready","Exam clue: ""Download AWS compliance reports for regulators."" Which AWS service does this describe?","This describes AWS Artifact, the self-service portal for accessing AWS's own compliance reports and certifications."
